st_dbscan_cluster_id,cluster_label,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality
173,BTP010 - Rajajinagar Entrance,osmnx,residential,2,7.0,48.541952453903434,4,0.010769059954696191
117,POLICE_STATION::K.R. Pura,osmnx,tertiary,2,7.0,819.2947925320815,6,0.00019450970294143563
705,"BTP163 - 16th Main Road, BTM Layout",osmnx,tertiary,2,7.0,33.52768302898772,4,0.00034312747398437896
654,POLICE_STATION::Malleshwaram,osmnx,tertiary,2,7.0,116.3207760227892,6,0.0003807163775309701
651,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,71.82756494202371,4,0.00030708331989860667
740,"BTP179 - 9th Block, 28th Main, Jayanagar",osmnx,primary,2,7.0,37.51049066741189,4,0.005584912946468686
668,BTP020 - Hosahalli Metro Station,osmnx,secondary,2,7.0,47.509941867251456,6,0.015103144207547277
179,"BTP206 - Shankara Mutt Circle, Vijayanagar",osmnx,secondary,4,14.0,198.467630314897,4,0.012783863803529995
149,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,51.24437833337508,6,4.8015962407118124e-05
390,BTP155 - Katriguppe Junction,osmnx,secondary,2,7.0,224.11303954489853,4,0.016992437162689552
62,POLICE_STATION::Halasur,osmnx,primary,2,7.0,83.68110429342855,4,0.010395520225701942
648,"BTP148 - 17th Main, Doopanahalli Bus Stop",osmnx,primary,2,7.0,81.88245782170505,6,0.007078653492800045
798,BTP063 - Siddalingaiah Circle,osmnx,residential,2,7.0,136.84936500803127,8,0.000652978470000286
92,POLICE_STATION::Banaswadi,osmnx,primary,3,10.5,767.8723841714408,3,0.016305345475429518
719,"BTP148 - 17th Main, Doopanahalli Bus Stop",osmnx,primary,2,7.0,180.29046401769745,4,0.006568789623888536
370,BTP219 - Canara Bank Junction,osmnx,secondary,2,7.0,81.45489199135767,4,0.0031044314997588757
547,"BTP070 - Cholurpalya Junction, Magadi Road",osmnx,residential,2,7.0,117.90088085945987,6,0.01222945965849821
291,BTP032 - Windsor Circle,osmnx,primary,2,7.0,75.5327147158729,5,0.001363498857416073
784,POLICE_STATION::Rajajinagar,osmnx,tertiary,2,7.0,38.8583425851211,4,0.002076690374107859
677,BTP074 - Leprosy Hospital Junction,osmnx,primary,2,7.0,483.5857409488655,2,0.0
211,POLICE_STATION::Adugodi,osmnx,secondary,2,7.0,336.2217490807465,4,0.0014816078266078447
385,POLICE_STATION::Yeshwanthpura,osmnx,trunk,2,7.0,434.08764690408026,2,0.0
328,BTP032 - Windsor Circle,osmnx,unclassified,2,7.0,230.1074737032866,6,5.184565377873143e-05
300,POLICE_STATION::Yeshwanthpura,osmnx,trunk,3,10.5,215.70894899326876,4,0.02279644707435104
681,BTP017 - Attiguppe Circle,osmnx,tertiary,2,7.0,43.62901806219302,6,0.0008389920509072182
276,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,tertiary,2,7.0,68.08542754622567,6,0.00012161683775904785
200,POLICE_STATION::Magadi Road,osmnx,tertiary,2,7.0,22.212287651320125,5,0.0035428507061075155
383,"BTP145 - Sri Hatti Maramma Circle, Domluru",osmnx,primary,2,7.0,62.21623753668247,4,0.015083609563324005
111,POLICE_STATION::Yeshwanthpura,osmnx,trunk,2,7.0,335.3800676129379,4,0.019904515172296054
537,POLICE_STATION::Yeshwanthpura,osmnx,trunk,3,10.5,215.70894899326876,3,0.008904225532683545
500,POLICE_STATION::Bellandur,osmnx,primary,3,10.5,214.3449862307452,4,0.0018818910306425197
731,POLICE_STATION::Shivajinagar,osmnx,residential,2,7.0,135.26926617015937,4,0.029133105909471116
702,POLICE_STATION::Byatarayanapura,osmnx,trunk,3,10.5,1036.3681608589934,3,0.013744247416233226
453,POLICE_STATION::Rajajinagar,osmnx,trunk,3,10.5,607.3736534564339,6,1.6219869338597543e-05
180,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,271.7281893582682,4,0.00031178193284193056
118,BTP108 - Tagore Park Junction,osmnx,tertiary,2,7.0,115.6119347778154,2,0.0
766,POLICE_STATION::Bellandur,osmnx,primary,3,10.5,62.316827445857776,4,0.0011265407265825535
567,POLICE_STATION::Pulikeshinagar(F.Town),osmnx,tertiary,2,7.0,87.98336448798587,6,0.008819811411105884
743,POLICE_STATION::Jeevanbheemanagar,osmnx,residential,2,7.0,56.386464415079566,8,0.01133852540697096
252,POLICE_STATION::HSR Layout,osmnx,tertiary,2,7.0,66.52058661813035,8,0.004109451935423683
770,POLICE_STATION::Kodigehalli,osmnx,tertiary,2,7.0,143.3395887152856,2,0.0
425,"BTP186 - 9th Cross, 4th Main, Jayanagar",osmnx,residential,2,7.0,51.20134642048872,8,9.731921603158526e-05
24,"BTP148 - 17th Main, Doopanahalli Bus Stop",osmnx,residential,2,7.0,149.05937677851068,6,0.00012872912173490114
449,BTP051 - Safina Plaza Junction,osmnx,secondary,2,7.0,72.93114226165291,3,0.053771441439885555
177,BTP075 - Police Corner,osmnx,primary,4,14.0,284.2681484132011,3,0.008117626234322432
313,"BTP204 - ESI Hospital, Rajajinagar",osmnx,tertiary,2,7.0,206.29454556621604,6,0.0010770765615559178
635,BTP034 - LRDE Junction,osmnx,tertiary,2,7.0,134.40662017059435,4,0.01931854021015878
40,POLICE_STATION::Halasur,osmnx,secondary,2,7.0,17.12801636150521,6,0.007910661988853145
591,POLICE_STATION::Kodigehalli,osmnx,residential,2,7.0,170.73202862506844,2,0.0
419,BTP067 - Jai Muni Rao Circle,osmnx,primary,2,7.0,82.35744429062548,6,0.0005765455539701884
617,POLICE_STATION::Yeshwanthpura,osmnx,trunk,3,10.5,215.70894899326876,4,0.02279644707435104
767,BTP023 - Mahalaxmi Layout Entrance,osmnx,tertiary,2,7.0,82.97745751514825,6,0.0005547581501165565
642,POLICE_STATION::R.T. Nagar,osmnx,residential,2,7.0,97.8673615445482,4,0.004154635857152633
769,POLICE_STATION::Sheshadripuram,osmnx,residential,2,7.0,52.11999199358087,8,0.00019003636596114781
121,BTP067 - Jai Muni Rao Circle,osmnx,primary,2,7.0,139.67143148213535,4,0.00013889872235195834
8,POLICE_STATION::Sheshadripuram,osmnx,residential,2,7.0,52.11999199358087,4,0.002993466996823391
